id_pncp,nome,cnpj,data_inclusao_pncp,categoria_instituicao,esfera,uf,plataforma_tecnologia,url_portal_acesso,endpoint_consulta_pncp,estrategia_conector,grau_reaproveitamento
17,SUPERINTENDÊNCIA DE COMPRAS E LICITAÇÕES DO ESTADO DE RONDÔNIA,04.696.490/0001-63,2021-08-09,Governo Estadual / Secretaria Central,Estadual,RO,SUPEL RO,https://rondonia.ro.gov.br/supel/,https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao?cnpj=04696490000163,WEB_PORTAL,Alto (Estado de Rondônia)
18,LICITANET LICITAÇÕES ELETRÔNICAS LTDA,21.280.462/0001-80,2021-08-09,Plataforma / Bolsa de Compras Privada,Multi-esfera / Nacional,Nacional,Licitanet,https://licitanet.com.br,https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao?cnpj=21280462000180,WEB_PORTAL / API,Altíssimo (Nacional)
26,MEMORY PROJETOS E DESENVOLVIMENTO DE SISTEMAS LTDA,71.000.731/0001-85,2021-08-17,Software House / GovTech ERP Municipal,Multi-esfera / Municipal,Multi-UF,Provedor Integrado via API PNCP,https://pncp.gov.br/app/editais?q=&status=recebendo_proposta&orgao=71000731000185,https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao?cnpj=71000731000185,PNCP_API_CONSULTA,Médio (Específico da Entidade)
27,HLH ASSESSORIA E CONSULTORIA LTDA,02.915.196/0001-70,2021-08-17,Software House / GovTech ERP Municipal,Multi-esfera / Municipal,Multi-UF,Provedor Integrado via API PNCP,https://pncp.gov.br/app/editais?q=&status=recebendo_proposta&orgao=02915196000170,https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao?cnpj=02915196000170,PNCP_API_CONSULTA,Médio (Específico da Entidade)
28,TRIBUNAL DE CONTAS DO ESTADO DO ESPÍRITO SANTO,28.483.014/0001-22,2021-08-20,Órgão de Controle / Tribunal de Contas,Estadual,ES,TCE-ES Compras,https://tcees.tc.br,https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao?cnpj=28483014000122,SISTEMA_CONTROLE,Médio (ES)
30,ASCONTECH SOLUTIONS,33.611.861/0001-65,2021-08-20,Software House / GovTech ERP Municipal,Multi-esfera / Municipal,Multi-UF,Provedor Integrado via API PNCP,https://pncp.gov.br/app/editais?q=&status=recebendo_proposta&orgao=33611861000165,https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao?cnpj=33611861000165,PNCP_API_CONSULTA,Médio (Específico da Entidade)
32,CENTRAL DE COMPRAS DA PARAÍBA/PB,08.761.140/0001-94,2021-08-20,Governo Estadual / Secretaria Central,Estadual,PB,Central de Compras PB,https://centraldecompras.pb.gov.br,https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao?cnpj=08761140000194,WEB_PORTAL,Alto (Estado da Paraíba)
34,ABASE SISTEMAS,93.088.649/0001-97,2021-08-25,Software House / GovTech ERP Municipal,Multi-esfera / Municipal,Multi-UF,Provedor Integrado via API PNCP,https://pncp.gov.br/app/editais?q=&status=recebendo_proposta&orgao=93088649000197,https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao?cnpj=93088649000197,PNCP_API_CONSULTA,Médio (Específico da Entidade)
35,CENTRO ELETRÔNICO BANCÁRIO INDUSTRIAL LTDA,59.302.711/0001-63,2021-08-26,Software House / GovTech ERP Municipal,Multi-esfera / Municipal,Multi-UF,Provedor Integrado via API PNCP,https://pncp.gov.br/app/editais?q=&status=recebendo_proposta&orgao=59302711000163,https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao?cnpj=59302711000163,PNCP_API_CONSULTA,Médio (Específico da Entidade)
36,CONTRATOS.GOV.BR,00.394.460/0001-41,2021-09-06,Governo Federal,Federal,Nacional,SIASG / Compras.gov.br API,https://compras.gov.br,https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao?cnpj=00394460000141,API_REST_OFICIAL,Altíssimo (Federal + centenas de municípios)
39,COPLAN - CONSULTORIA E PLANEJAMENTO EIRELI,07.281.368/0001-14,2021-09-09,Software House / GovTech ERP Municipal,Multi-esfera / Municipal,Multi-UF,Provedor Integrado via API PNCP,https://pncp.gov.br/app/editais?q=&status=recebendo_proposta&orgao=07281368000114,https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao?cnpj=07281368000114,PNCP_API_CONSULTA,Médio (Específico da Entidade)
40,LICITAÇÕES-E BB,00.000.000/0001-91,2021-09-14,Plataforma / Bolsa de Compras Privada,Multi-esfera / Nacional,Nacional,Licitações-e (Banco do Brasil),https://www.licitacoes-e.com.br,https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao?cnpj=00000000000191,WEB_PORTAL / API,Altíssimo (Nacional)
41,ELOTECH GESTÃO PÚBLICA LTDA,80.896.194/0001-94,2021-09-20,Software House / GovTech ERP Municipal,Multi-esfera / Municipal,PR,Elotech Gestão Pública,https://www.elotech.com.br,https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao?cnpj=80896194000194,ERP_GOVTECH_API,Alto (Região Sul)
42,4R TECNOLOGIA DA INFORMAÇÃO LTDA,36.729.529/0001-98,2021-09-22,Software House / GovTech ERP Municipal,Multi-esfera / Municipal,Multi-UF,Provedor Integrado via API PNCP,https://pncp.gov.br/app/editais?q=&status=recebendo_proposta&orgao=36729529000198,https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao?cnpj=36729529000198,PNCP_API_CONSULTA,Médio (Específico da Entidade)
43,ESCAL EMPRESA DE SERVIÇOS DE CONTABILIDADE E ASSESSORIA LTDA,18.272.880/0001-10,2021-10-03,Software House / GovTech ERP Municipal,Multi-esfera / Municipal,Multi-UF,Provedor Integrado via API PNCP,https://pncp.gov.br/app/editais?q=&status=recebendo_proposta&orgao=18272880000110,https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao?cnpj=18272880000110,PNCP_API_CONSULTA,Médio (Específico da Entidade)
45,PÚBLICA TECNOLOGIA,95.836.771/0001-20,2021-10-03,Software House / GovTech ERP Municipal,Multi-esfera / Municipal,Multi-UF,Provedor Integrado via API PNCP,https://pncp.gov.br/app/editais?q=&status=recebendo_proposta&orgao=95836771000120,https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao?cnpj=95836771000120,PNCP_API_CONSULTA,Médio (Específico da Entidade)
46,CENTI,14.419.896/0001-52,2021-10-03,Software House / GovTech ERP Municipal,Multi-esfera / Municipal,GO,Centi Sistemas,https://centi.com.br,https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao?cnpj=14419896000152,ERP_GOVTECH_API,Alto (Centro-Oeste)
51,SECRETARIA DO PLANEJAMENTO E GESTÃO DO CEARÁ,08.691.976/0001-60,2021-10-15,Governo Estadual / Secretaria Central,Estadual,CE,SEPLAG Ceará,https://licitacoes.ce.gov.br,https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao?cnpj=08691976000160,WEB_PORTAL,Alto (Estado do Ceará)
53,TRIBUNAL DE JUSTIÇA DE MATO GROSSO,03.535.606/0001-10,2021-10-19,Poder Judiciário / Funções Essenciais,Estadual,Estadual,Provedor Integrado via API PNCP,https://pncp.gov.br/app/editais?q=&status=recebendo_proposta&orgao=03535606000110,https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao?cnpj=03535606000110,PNCP_API_CONSULTA,Médio (Específico da Entidade)
54,DIRETRIZ INFORMATICA EIRELI,22.493.902/0001-40,2021-10-19,Software House / GovTech ERP Municipal,Multi-esfera / Municipal,Multi-UF,Provedor Integrado via API PNCP,https://pncp.gov.br/app/editais?q=&status=recebendo_proposta&orgao=22493902000140,https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao?cnpj=22493902000140,PNCP_API_CONSULTA,Médio (Específico da Entidade)
55,IPM SISTEMAS,01.258.027/0001-41,2021-10-19,Software House / GovTech ERP Municipal,Multi-esfera / Municipal,SC,IPM Sistemas (Atende.Net),https://www.ipm.com.br,https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao?cnpj=01258027000141,ERP_GOVTECH_API,Altíssimo (Centenas de prefeituras)
56,TRIBUNAL DE JUSTIÇA DO ESTADO DO PARANÁ,77.821.841/0001-94,2021-10-19,Poder Judiciário / Funções Essenciais,Estadual,PR,TJPR Licitações,https://tjpr.jus.br,https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao?cnpj=77821841000194,PORTAL_JUDICIARIO,Alto (TJPR)
57,MEGASOFT INFORMÁTICA,37.615.788/0001-50,2021-10-19,Software House / GovTech ERP Municipal,Multi-esfera / Municipal,GO,Megasoft Informática,https://www.megasoft.com.br,https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao?cnpj=37615788000150,ERP_GOVTECH_API,Alto (Centro-Oeste)
58,SECRETARIA DE ADMINISTRAÇÃO DO ESTADO DE PERNAMBUCO,10.572.022/0001-80,2021-10-19,Governo Estadual / Secretaria Central,Estadual,PE,PE Integrado (SAD PE),https://peintegrado.pe.gov.br,https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao?cnpj=10572022000180,WEB_PORTAL,Alto (Estado de Pernambuco)
59,IBDM MODERNIZAÇÃO ASSESSORIA E CONSULTORIA,10.442.698/0001-59,2021-11-15,Software House / GovTech ERP Municipal,Multi-esfera / Municipal,Multi-UF,Provedor Integrado via API PNCP,https://pncp.gov.br/app/editais?q=&status=recebendo_proposta&orgao=10442698000159,https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao?cnpj=10442698000159,PNCP_API_CONSULTA,Médio (Específico da Entidade)
63,"CECAM - CONSULTORIA ECONÔMICA, CONTÁBIL E ADMINISTRATIVA MUNICIPAL",00.626.646/0001-89,2021-11-15,Software House / GovTech ERP Municipal,Multi-esfera / Municipal,Multi-UF,Provedor Integrado via API PNCP,https://pncp.gov.br/app/editais?q=&status=recebendo_proposta&orgao=00626646000189,https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao?cnpj=00626646000189,PNCP_API_CONSULTA,Médio (Específico da Entidade)
64,TRIBUNAL DE JUSTIÇA DO ESTADO DE SÃO PAULO TJSP,51.174.001/0001-93,2021-11-15,Poder Judiciário / Funções Essenciais,Estadual,SP,TJSP Licitações,https://tjsp.jus.br,https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao?cnpj=51174001000193,PORTAL_JUDICIARIO,Alto (TJSP)
67,DBSELLER SERVIÇOS DE INFORMÁTICA,05.238.851/0001-90,2021-11-15,Software House / GovTech ERP Municipal,Multi-esfera / Municipal,Multi-UF,Provedor Integrado via API PNCP,https://pncp.gov.br/app/editais?q=&status=recebendo_proposta&orgao=05238851000190,https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao?cnpj=05238851000190,PNCP_API_CONSULTA,Médio (Específico da Entidade)
70,CREA-PR,76.639.384/0001-59,2021-11-28,Conselho Profissional,Federal,Nacional,Provedor Integrado via API PNCP,https://pncp.gov.br/app/editais?q=&status=recebendo_proposta&orgao=76639384000159,https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao?cnpj=76639384000159,PNCP_API_CONSULTA,Médio (Específico da Entidade)
73,EI SOLUÇÕES INTELIGENTES,11.626.937/0001-93,2021-11-28,Software House / GovTech ERP Municipal,Multi-esfera / Municipal,Multi-UF,Provedor Integrado via API PNCP,https://pncp.gov.br/app/editais?q=&status=recebendo_proposta&orgao=11626937000193,https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao?cnpj=11626937000193,PNCP_API_CONSULTA,Médio (Específico da Entidade)
77,LICITACON - TCE-RS,89.550.032/0001-74,2021-12-10,Órgão de Controle / Tribunal de Contas,Estadual,RS,Licitacon (TCE-RS),https://portal.tce.rs.gov.br/licitacon/,https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao?cnpj=89550032000174,SISTEMA_CONTROLE,Alto (Todo o RS)
80,ELMAR TECNOLOGIA,09.164.369/0001-04,2022-02-14,Software House / GovTech ERP Municipal,Multi-esfera / Municipal,Multi-UF,Provedor Integrado via API PNCP,https://pncp.gov.br/app/editais?q=&status=recebendo_proposta&orgao=09164369000104,https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao?cnpj=09164369000104,PNCP_API_CONSULTA,Médio (Específico da Entidade)
81,PRODATA INFORMÁTICA,02.744.987/0001-84,2022-03-02,Software House / GovTech ERP Municipal,Multi-esfera / Municipal,Multi-UF,Provedor Integrado via API PNCP,https://pncp.gov.br/app/editais?q=&status=recebendo_proposta&orgao=02744987000184,https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao?cnpj=02744987000184,PNCP_API_CONSULTA,Médio (Específico da Entidade)
82,GOVERNANÇABRASIL TECNOLOGIA E GESTÃO EM SERVIÇOS,00.165.960/0001-01,2022-03-02,Software House / GovTech ERP Municipal,Multi-esfera / Municipal,RS,GovernançaBrasil (GovBR),https://www.govbr.com.br,https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao?cnpj=00165960000101,ERP_GOVTECH_API,Altíssimo (Nacional)
83,FIORILLI SOFTWARE,01.704.233/0001-38,2022-03-24,Software House / GovTech ERP Municipal,Multi-esfera / Municipal,SP,Fiorilli Software (SCPI / SIAFEM),https://www.fiorilli.com.br,https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao?cnpj=01704233000138,ERP_GOVTECH_API,Altíssimo (Centenas de prefeituras)
84,BETHA SISTEMAS,00.456.865/0001-67,2022-03-24,Software House / GovTech ERP Municipal,Multi-esfera / Municipal,SC,Betha Sistemas (Fly Compras / e-Nota),https://www.betha.com.br,https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao?cnpj=00456865000167,ERP_GOVTECH_API,Altíssimo (Centenas de prefeituras)
85,GRUPO ASSESSOR,04.334.666/0001-37,2022-04-01,Software House / GovTech ERP Municipal,Multi-esfera / Municipal,Multi-UF,Provedor Integrado via API PNCP,https://pncp.gov.br/app/editais?q=&status=recebendo_proposta&orgao=04334666000137,https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao?cnpj=04334666000137,PNCP_API_CONSULTA,Médio (Específico da Entidade)
86,MUNICÍPIO DE AÇAILÂNDIA,07.000.268/0001-72,2022-05-05,Prefeitura / Poder Executivo Municipal,Municipal,Municipal,Provedor Integrado via API PNCP,https://pncp.gov.br/app/editais?q=&status=recebendo_proposta&orgao=07000268000172,https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao?cnpj=07000268000172,PNCP_API_CONSULTA,Médio (Específico da Entidade)
87,FUNDAÇÃO BUTANTAN,61.189.445/0001-56,2022-05-10,Autarquia / Empresa Pública / Fundação / Consórcio,Estadual / Municipal,Local,Provedor Integrado via API PNCP,https://pncp.gov.br/app/editais?q=&status=recebendo_proposta&orgao=61189445000156,https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao?cnpj=61189445000156,PNCP_API_CONSULTA,Médio (Específico da Entidade)
88,M2A TECNOLOGIA,19.337.907/0001-79,2022-05-17,Software House / GovTech ERP Municipal,Multi-esfera / Municipal,Multi-UF,Provedor Integrado via API PNCP,https://pncp.gov.br/app/editais?q=&status=recebendo_proposta&orgao=19337907000179,https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao?cnpj=19337907000179,PNCP_API_CONSULTA,Médio (Específico da Entidade)
89,LICITA + BRASIL,42.342.559/0001-40,2022-06-10,Entidade Pública / Municipal,Municipal,Local,Provedor Integrado via API PNCP,https://pncp.gov.br/app/editais?q=&status=recebendo_proposta&orgao=42342559000140,https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao?cnpj=42342559000140,PNCP_API_CONSULTA,Médio (Específico da Entidade)
90,NOVO BBMNET LICITAÇÕES,05.342.088/0001-43,2022-06-17,Plataforma / Bolsa de Compras Privada,Multi-esfera / Nacional,Nacional,BBMNet Licitações (Bolsa Brasileira de Mercadorias),https://bbmnetlicitacoes.com.br,https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao?cnpj=05342088000143,WEB_PORTAL / API,Altíssimo (Nacional)
91,SECRETARIA DE ESTADO DA ADMINISTRAÇÃO E DA PREVIDÊNCIA DO ESTADO DO PARANÁ - SEAP-PR,77.071.579/0001-08,2022-06-17,Governo Estadual / Secretaria Central,Estadual,Estadual,Provedor Integrado via API PNCP,https://pncp.gov.br/app/editais?q=&status=recebendo_proposta&orgao=77071579000108,https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao?cnpj=77071579000108,PNCP_API_CONSULTA,Médio (Específico da Entidade)
92,ACADEMIA DE GESTÃO PÚBLICA S/A,10.532.822/0001-77,2022-07-04,Software House / GovTech ERP Municipal,Multi-esfera / Municipal,Multi-UF,Provedor Integrado via API PNCP,https://pncp.gov.br/app/editais?q=&status=recebendo_proposta&orgao=10532822000177,https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao?cnpj=10532822000177,PNCP_API_CONSULTA,Médio (Específico da Entidade)
93,TRIBUNAL DE JUSTIÇA DO ESTADO DO RIO DE JANEIRO,28.538.734/0001-48,2022-07-29,Poder Judiciário / Funções Essenciais,Estadual,Estadual,Provedor Integrado via API PNCP,https://pncp.gov.br/app/editais?q=&status=recebendo_proposta&orgao=28538734000148,https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao?cnpj=28538734000148,PNCP_API_CONSULTA,Médio (Específico da Entidade)
94,SIGEP - SISTEMAS INTEGRADOS,04.294.699/0001-09,2022-08-01,Software House / GovTech ERP Municipal,Multi-esfera / Municipal,Multi-UF,Provedor Integrado via API PNCP,https://pncp.gov.br/app/editais?q=&status=recebendo_proposta&orgao=04294699000109,https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao?cnpj=04294699000109,PNCP_API_CONSULTA,Médio (Específico da Entidade)
96,BR CONECTADO,15.464.263/0001-29,2022-08-23,Entidade Pública / Municipal,Municipal,Local,Provedor Integrado via API PNCP,https://pncp.gov.br/app/editais?q=&status=recebendo_proposta&orgao=15464263000129,https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao?cnpj=15464263000129,PNCP_API_CONSULTA,Médio (Específico da Entidade)
98,TECTRILHA INFORMÁTICA LTDA EPP,05.565.222/0001-75,2022-09-21,Software House / GovTech ERP Municipal,Multi-esfera / Municipal,Multi-UF,Provedor Integrado via API PNCP,https://pncp.gov.br/app/editais?q=&status=recebendo_proposta&orgao=05565222000175,https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao?cnpj=05565222000175,PNCP_API_CONSULTA,Médio (Específico da Entidade)
99,INSTITUTO MUNICIPAL DE ADMINISTRAÇÃO PÚBLICA - IMAP,05.277.208/0001-76,2022-10-05,Entidade Pública / Municipal,Municipal,Local,Provedor Integrado via API PNCP,https://pncp.gov.br/app/editais?q=&status=recebendo_proposta&orgao=05277208000176,https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao?cnpj=05277208000176,PNCP_API_CONSULTA,Médio (Específico da Entidade)
100,TECNOSWEB - TECNOLOGIA DE GESTÃO,09.310.477/0001-48,2022-10-06,Software House / GovTech ERP Municipal,Multi-esfera / Municipal,Multi-UF,Provedor Integrado via API PNCP,https://pncp.gov.br/app/editais?q=&status=recebendo_proposta&orgao=09310477000148,https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao?cnpj=09310477000148,PNCP_API_CONSULTA,Médio (Específico da Entidade)
101,CONTRATOSGOV SISTEMAS,40.628.906/0001-70,2022-10-26,Software House / GovTech ERP Municipal,Multi-esfera / Municipal,Multi-UF,Provedor Integrado via API PNCP,https://pncp.gov.br/app/editais?q=&status=recebendo_proposta&orgao=40628906000170,https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao?cnpj=40628906000170,PNCP_API_CONSULTA,Médio (Específico da Entidade)
102,SMARAPD INFORMATICA LTDA,50.735.505/0001-72,2022-11-03,Software House / GovTech ERP Municipal,Multi-esfera / Municipal,Multi-UF,Provedor Integrado via API PNCP,https://pncp.gov.br/app/editais?q=&status=recebendo_proposta&orgao=50735505000172,https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao?cnpj=50735505000172,PNCP_API_CONSULTA,Médio (Específico da Entidade)
103,TRIBUNAL REGIONAL FEDERAL DA 3ª REGIÃO,59.949.362/0001-76,2022-11-29,Entidade Pública / Municipal,Municipal,Local,Provedor Integrado via API PNCP,https://pncp.gov.br/app/editais?q=&status=recebendo_proposta&orgao=59949362000176,https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao?cnpj=59949362000176,PNCP_API_CONSULTA,Médio (Específico da Entidade)
104,MUNICÍPIO DE CURITIBA,76.417.005/0001-86,2022-11-29,Prefeitura / Poder Executivo Municipal,Municipal,Municipal,Provedor Integrado via API PNCP,https://pncp.gov.br/app/editais?q=&status=recebendo_proposta&orgao=76417005000186,https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao?cnpj=76417005000186,PNCP_API_CONSULTA,Médio (Específico da Entidade)
105,TRIBUNAL DE JUSTIÇA DO ESTADO DO CEARÁ,09.444.530/0001-01,2022-12-12,Poder Judiciário / Funções Essenciais,Estadual,Estadual,Provedor Integrado via API PNCP,https://pncp.gov.br/app/editais?q=&status=recebendo_proposta&orgao=09444530000101,https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao?cnpj=09444530000101,PNCP_API_CONSULTA,Médio (Específico da Entidade)
106,SISTEMA CONTRATOS SJES,05.424.467/0001-82,2022-12-12,Entidade Pública / Municipal,Municipal,Local,Provedor Integrado via API PNCP,https://pncp.gov.br/app/editais?q=&status=recebendo_proposta&orgao=05424467000182,https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao?cnpj=05424467000182,PNCP_API_CONSULTA,Médio (Específico da Entidade)
107,INSTAR TECNOLOGIA EM INFORMÁTICA,08.225.893/0001-85,2022-12-14,Software House / GovTech ERP Municipal,Multi-esfera / Municipal,Multi-UF,Provedor Integrado via API PNCP,https://pncp.gov.br/app/editais?q=&status=recebendo_proposta&orgao=08225893000185,https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao?cnpj=08225893000185,PNCP_API_CONSULTA,Médio (Específico da Entidade)
108,CÂMARA MUNICIPAL DE BELO HORIZONTE,17.316.563/0001-96,2022-12-21,Câmara / Poder Legislativo Municipal,Municipal,Municipal,Provedor Integrado via API PNCP,https://pncp.gov.br/app/editais?q=&status=recebendo_proposta&orgao=17316563000196,https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao?cnpj=17316563000196,PNCP_API_CONSULTA,Médio (Específico da Entidade)
109,STS INFORMATICA LTDA / STS INFORMATICA,73.726.333/0001-76,2022-12-21,Software House / GovTech ERP Municipal,Multi-esfera / Municipal,Multi-UF,Provedor Integrado via API PNCP,https://pncp.gov.br/app/editais?q=&status=recebendo_proposta&orgao=73726333000176,https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao?cnpj=73726333000176,PNCP_API_CONSULTA,Médio (Específico da Entidade)
110,MUNICIPIO DE ESTEIO,88.150.495/0001-86,2022-12-21,Prefeitura / Poder Executivo Municipal,Municipal,Municipal,Provedor Integrado via API PNCP,https://pncp.gov.br/app/editais?q=&status=recebendo_proposta&orgao=88150495000186,https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao?cnpj=88150495000186,PNCP_API_CONSULTA,Médio (Específico da Entidade)
111,TRIBUNAL DE JUSTIÇA DO ESTADO DO RIO GRANDE DO SUL,89.522.064/0001-66,2022-12-27,Poder Judiciário / Funções Essenciais,Estadual,Estadual,Provedor Integrado via API PNCP,https://pncp.gov.br/app/editais?q=&status=recebendo_proposta&orgao=89522064000166,https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao?cnpj=89522064000166,PNCP_API_CONSULTA,Médio (Específico da Entidade)
112,TRIBUNAL DE CONTAS DO DISTRITO FEDERAL,00.534.560/0001-26,2022-12-28,Órgão de Controle / Tribunal de Contas,Estadual,Estadual,Provedor Integrado via API PNCP,https://pncp.gov.br/app/editais?q=&status=recebendo_proposta&orgao=00534560000126,https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao?cnpj=00534560000126,PNCP_API_CONSULTA,Médio (Específico da Entidade)
